review_id,movie_id,reviewer,rating,review_date
1,96,Jane Doe,8.0,2020-02-17
2,90,Victor Scott,1.8,2020-08-22
3,32,Yara Baker,1.8,2020-03-10
4,77,Victor Scott,5.2,2020-04-24
5,16,Mia Martinez,6.3,2020-04-13
6,41,Olivia Clark,8.2,2020-03-11
7,30,Olivia Clark,3.6,2020-01-10
8,62,Uma King,9.5,2020-09-22
9,83,Henry Harris,6.9,2020-04-16
10,75,Grace Lee,6.0,2020-06-13
11,43,Emily Evans,6.3,2020-02-05
12,99,Olivia Clark,4.8,2020-07-23
13,61,Victor Scott,7.3,2020-01-16
14,65,Grace Lee,9.4,2020-03-18
15,13,Wendy Green,7.1,2020-03-15
16,55,Henry Harris,5.7,2020-09-05
17,68,Yara Baker,3.0,2020-08-26
18,73,Henry Harris,1.6,2020-10-25
19,76,Mia Martinez,5.8,2020-07-24
20,6,Bob Brown,1.2,2020-02-08
21,80,Alice Johnson,9.9,2020-03-25
22,28,John Smith,4.1,2020-10-19
23,45,Charlie Davis,5.5,2020-08-16
24,82,Olivia Clark,6.1,2020-06-03
25,32,Ryan Hall,8.2,2020-06-27
26,73,Olivia Clark,9.4,2020-08-01
27,79,Bob Brown,4.8,2020-04-08
28,90,Zane Carter,8.4,2020-04-09
29,81,Uma King,4.8,2020-02-23
30,23,Mia Martinez,4.3,2020-10-10
31,7,Frank Wilson,9.8,2020-09-30
32,18,Ryan Hall,4.1,2020-02-02
33,59,Ryan Hall,8.7,2020-05-15
34,87,Henry Harris,4.3,2020-07-08
35,98,Kathy Thompson,1.4,2020-10-21
36,78,Tom Young,4.4,2020-02-15
37,21,Yara Baker,3.1,2020-08-28
38,73,Tom Young,6.6,2020-05-26
39,84,Yara Baker,6.3,2020-02-13
40,1,Ivy White,4.4,2020-04-04
41,6,Henry Harris,1.5,2020-10-17
42,35,Ryan Hall,6.1,2020-05-23
43,86,Mia Martinez,9.0,2020-03-26
44,57,John Smith,6.6,2020-07-04
45,37,Yara Baker,7.3,2020-05-18
46,6,Jane Doe,7.5,2020-07-31
47,13,Liam Garcia,5.2,2020-01-21
48,64,Henry Harris,4.9,2020-04-21
49,89,Victor Scott,2.0,2020-04-28
50,94,Uma King,5.2,2020-02-21
51,91,Bob Brown,5.2,2020-03-01
52,74,Bob Brown,1.7,2020-08-04
53,97,Bob Brown,3.3,2020-07-06
54,45,Jane Doe,1.4,2020-10-15
55,42,Emily Evans,3.8,2020-07-11
56,6,Kathy Thompson,3.3,2020-01-14
57,15,John Smith,6.5,2020-10-02
58,20,Xander Adams,8.7,2020-05-01
59,56,Liam Garcia,5.1,2020-06-08
60,72,Paul Lewis,3.6,2020-05-24
61,20,Zane Carter,2.2,2020-07-17
62,82,Tom Young,8.4,2020-01-11
63,27,Jane Doe,9.5,2020-10-12
64,16,Yara Baker,1.5,2020-02-20
65,75,Ivy White,5.2,2020-03-14
66,43,Charlie Davis,9.1,2020-07-20
67,87,Emily Evans,5.6,2020-06-10
68,95,Tom Young,6.7,2020-07-15
69,33,John Smith,2.1,2020-04-25
70,91,Tom Young,1.5,2020-02-01
71,93,Tom Young,6.5,2020-04-14
72,89,Kathy Thompson,9.8,2020-09-04
73,95,Tom Young,5.2,2020-04-05
74,36,Grace Lee,5.3,2020-08-02
75,48,Emily Evans,8.7,2020-02-03
76,95,Liam Garcia,1.2,2020-06-24
77,100,Mia Martinez,8.3,2020-01-17
78,100,Kathy Thompson,6.5,2020-10-13
79,58,John Smith,4.0,2020-05-25
80,47,Wendy Green,2.4,2020-03-06
81,93,Sophia Allen,9.3,2020-06-28
82,52,Jack Martin,3.0,2020-09-10
83,80,Liam Garcia,10.0,2020-06-11
84,77,Liam Garcia,5.3,2020-09-07
85,6,Jack Martin,8.9,2020-05-17
86,94,Uma King,3.6,2020-08-27
87,55,Mia Martinez,6.7,2020-10-26
88,13,Uma King,8.4,2020-07-29
89,80,Noah Robinson,4.2,2020-08-21
90,65,Henry Harris,4.6,2020-05-27
91,74,Victor Scott,2.4,2020-07-02
92,31,Wendy Green,5.3,2020-01-22
93,78,Xander Adams,4.2,2020-01-18
94,83,Victor Scott,1.8,2020-04-02
95,7,Frank Wilson,4.5,2020-01-28
96,83,Tom Young,7.5,2020-10-22
97,74,Grace Lee,7.3,2020-10-18
98,63,Charlie Davis,6.8,2020-04-30
99,58,Frank Wilson,6.9,2020-02-10
100,91,Xander Adams,4.4,2020-09-01
101,54,Mia Martinez,6.3,2020-07-19
102,57,Tom Young,2.1,2020-06-16
103,20,Ryan Hall,9.9,2020-06-29
104,35,Frank Wilson,3.3,2020-02-24
105,74,Charlie Davis,4.7,2020-01-05
106,24,Sophia Allen,2.7,2020-03-20
107,66,Frank Wilson,1.1,2020-09-21
108,98,Jack Martin,7.4,2020-08-29
109,20,Alice Johnson,9.3,2020-01-15
110,98,Tom Young,6.7,2020-09-24
111,39,Alice Johnson,1.4,2020-02-22
112,95,Sophia Allen,3.9,2020-09-18
113,7,Xander Adams,2.3,2020-06-12
114,35,Bob Brown,8.4,2020-08-25
115,31,Grace Lee,9.3,2020-09-17
